comment_id,text,raw_text,author,votes,replies,time,is_reply,is_hearted,genre,movie_title,movie_year,tmdb_id,imdb_id,trailer_id,source
UgwtsRFdOSzaxFnAvtl4AaABAg,Watch Mission: Impossible - Dead Reckoning Part One on Digital TODAY:,Watch Mission: Impossible - Dead Reckoning Part One on Digital TODAY: http://paramnt.us/MissionImpossibleDRP1 🏍,@paramountpictures,342,21,2 years ago,False,False,action,Mission: Impossible - Dead Reckoning,2023,575264,tt9603212,avz06PDqDbM,youtube
Ugydxz4eSIdOqPEu04t4AaABAg,"This franchise somehow keeps getting better with every movie since #3, it's insane!","This franchise somehow keeps getting better with every movie since #3, it's insane!",@WatchMojo,19000,271,2 years ago,False,False,action,Mission: Impossible - Dead Reckoning,2023,575264,tt9603212,avz06PDqDbM,youtube
UgxBNZPVQAQUbMs4L794AaABAg,Tom Cruise's running sequence will forever remain iconic,Tom Cruise's running sequence will forever remain iconic,@RASIMTURABOV-w3j,895,6,2 years ago,False,False,action,Mission: Impossible - Dead Reckoning,2023,575264,tt9603212,avz06PDqDbM,youtube
UgyK7OtI2oPa1Hi5rFl4AaABAg,Tom Cruise running is everything ... never gets old,Tom Cruise running is everything 😂... never gets old,@shirish_yt,668,3,2 years ago (edited),False,False,action,Mission: Impossible - Dead Reckoning,2023,575264,tt9603212,avz06PDqDbM,youtube
UgzxQErQ1TckPNQmKzl4AaABAg,the last 20 seconds of this trailer is the best of any MI trailer in it's almost 3 decades.,the last 20 seconds of this trailer is the best of any MI trailer in it's almost 3 decades.,@druxpack8531,70,0,1 year ago,False,False,action,Mission: Impossible - Dead Reckoning,2023,575264,tt9603212,avz06PDqDbM,youtube
UgyeTRteQF9WR2Wtkhd4AaABAg,"No one ever thought, when the original came out, that this character would jump into popular culture. That this world would intrigue people and make them interested in knowing more about it. It was so well written, so well directed. But most importantly, Keanu made this movie franchise what it is today Edit: For people saying the movies are not well written, just bang bang gun fu, allow me to remind you that John Wicks character is built up long before he ever touches a gun. The intricacies in the stories are in the details of the world. The rules of the hotel. Whatt motivates these individuals to break/ follow those rules? The writing Is much deeper than just mindless shooting.","No one ever thought, when the original came out, that this character would jump into popular culture. That this world would intrigue people and make them interested in knowing more about it. It was so well written, so well directed. But most importantly, Keanu made this movie franchise what it is today
Edit: For people saying the movies are not well written, just bang bang gun fu, allow me to remind you that John Wicks character is built up long before he ever touches a gun. The intricacies in the stories are in the details of the world. The rules of the hotel. Whatt motivates these individuals to break/ follow those rules? The writing Is much deeper than just mindless shooting.",@RatedAwesome,24000,290,3 years ago (edited),False,False,action,John Wick: Chapter 4,2023,603692,tt10366206,qEVUtrk8_B4,youtube
UgyX_RQKwE0fUuhhdS54AaABAg,"The fact that Donnie Yen, Keanu Reeves, and Hiroyuki Sanada can still move like this at their age is going to get me into martial arts training. Edit: the people replying “stunt doubles” to this assume that the rest of us are not smart enough to be aware of the existence of stuntmen. Here’s a shocker: we know. The fact is that those guys can move in a manner that is atypical for their ages, and what they all have in common is martial arts training. Stop being internet smartasses.","The fact that Donnie Yen, Keanu Reeves, and Hiroyuki Sanada can still move like this at their age is going to get me into martial arts training.

Edit: the people replying “stunt doubles” to this assume that the rest of us are not smart enough to be aware of the existence of stuntmen. Here’s a shocker: we know. 

The fact is that those guys can move in a manner that is atypical for their ages, and what they all have in common is martial arts training. Stop being internet smartasses.",@emmanuela7528,25000,263,3 years ago (edited),False,False,action,John Wick: Chapter 4,2023,603692,tt10366206,qEVUtrk8_B4,youtube
UgyvXQrmxw5fHl8WN1R4AaABAg,"Just the fact that Neo, Morpheus, IP Man, Scorpion, and Pennywise The Clown are all in the same movie just shows you how great this movie is going to be!!!","Just the fact that Neo, Morpheus, IP Man, Scorpion, and Pennywise The Clown are all in the same movie just shows you how great this movie is going to be!!! 😮",@jovyflow007,7700,122,3 years ago (edited),False,False,action,John Wick: Chapter 4,2023,603692,tt10366206,qEVUtrk8_B4,youtube
UgxUYUNfgHqqwVODBPF4AaABAg,Superhero Movies like Deadpool 3 makes Billion dollars easily but people fails to appreciate a well made movie like John wick 4. they couldn't support John wick to make billion dollars.,Superhero Movies like Deadpool 3 makes Billion dollars easily but people fails to appreciate a well made movie like John wick 4. they couldn't support John wick to make billion dollars.,@spontaneouslord3756,892,21,1 year ago,False,False,action,John Wick: Chapter 4,2023,603692,tt10366206,qEVUtrk8_B4,youtube
UgxVynYtifiZnPeLPq94AaABAg,I love how everyone in this world knows that John is the most dangerous man alive but everyone also thinks they are the one that can kill him,I love how everyone in this world knows that John is the most dangerous man alive but everyone also thinks they are the one that can kill him,@mustang8206,14000,181,3 years ago,False,False,action,John Wick: Chapter 4,2023,603692,tt10366206,qEVUtrk8_B4,youtube
UgzaJYjXsJzevvvQ9Sh4AaABAg,The best story I heard about this movie is that all the streaming platforms wanted it and we're eager to buy the rights to stream it on release day. Mr. Tom Cruise himself said NO to everyone. He wanted an exclusively theater-only release.,The best story I heard about this movie is that all the streaming platforms wanted it and we're eager to buy the rights to stream it on release day. Mr. Tom Cruise himself said NO to everyone. He wanted an exclusively theater-only release.,@itsrightbehindyou,990,12,3 years ago,False,False,action,Top Gun: Maverick,2022,361743,tt1745960,giXco2jaZ_4,youtube
UgyER-UGCXcyurHv-1Z4AaABAg,"You know a movie is awesome, when you come back to the trailer after watching it.","You know a movie is awesome, when you come back to the trailer after watching it.",@kingmikayel,28000,504,3 years ago,False,False,action,Top Gun: Maverick,2022,361743,tt1745960,giXco2jaZ_4,youtube
UgxODi4eKDbX-c6rQ0B4AaABAg,Best part about the movie is it doesn't end where you think it would. The extra 20+ mins of unexpected action really puts the cherry on top of what was already a fantastic movie.,Best part about the movie is it doesn't end where you think it would. The extra 20+ mins of unexpected action really puts the cherry on top of what was already a fantastic movie.,@chillwillfromtheville,4800,37,3 years ago (edited),False,False,action,Top Gun: Maverick,2022,361743,tt1745960,giXco2jaZ_4,youtube
UgyjX6jeAQMu41RAeGJ4AaABAg,"Wish my dad was still alive to see this with him. He took me to see the first one the night it came out when I was 13. He just got off of work at the base and was still in his uniform and I remember feeling proud and special walking out of the theater holding his hand. (he served in the Navy from 1963-1970 as mechanic then a pilot on the USS Wasp finding astronauts in the ocean. He then served again from 1981-1982,in the Navy reserves. He then moved to USAF in 84' then to USAF reserves at some point to 2011 when they told him had to retire.) Good man he was.","Wish my dad was still alive to see this with him.  He took me to see the first one the night it came out when I was 13.  He just got off of work at the base and was still in his uniform and  I remember feeling proud and special walking out of the theater holding his hand. (he served in the Navy from 1963-1970 as mechanic then a pilot on the USS Wasp finding astronauts in the ocean. He then served again from 1981-1982,in the Navy reserves. He then moved to USAF in 84' then to USAF reserves at some point to 2011 when they told him had to retire.)  Good man he was.",@Dawnnie473,2800,74,4 years ago (edited),False,False,action,Top Gun: Maverick,2022,361743,tt1745960,giXco2jaZ_4,youtube
UgyqC1lkw2yLFZCmlLl4AaABAg,I feel the need. The need for this not to be postponed anymore!!!!!,I feel the need. The need for this not to be postponed anymore!!!!!,@jehanr,14000,221,4 years ago,False,False,action,Top Gun: Maverick,2022,361743,tt1745960,giXco2jaZ_4,youtube
Ugz5ThR26X5V65b0XlN4AaABAg,"I don't know what's more crazy, the fact that we are getting another one of these movies, or the fact that it has been 8 years since Fury Road... What a day! WHAT A LOVELY DAY!!","I don't know what's more crazy, the fact that we are getting another one of these movies, or the fact that it has been 8 years since Fury Road... What a day! WHAT A LOVELY DAY!!",@OrionInSpace,32000,364,2 years ago (edited),False,False,action,Mad Max: Furiosa,2024,786892,tt12037194,XJMuhwVlca4,youtube
UgwbOy6IqLRxCRP7pxN4AaABAg,Nobody builds post-apocalyptic war machines like George and his team. Absolutely incredible.,Nobody builds post-apocalyptic war machines like George and his team. Absolutely incredible.,@soapybanana1,7700,59,2 years ago,False,False,action,Mad Max: Furiosa,2024,786892,tt12037194,XJMuhwVlca4,youtube
